#         t          x          y          z         vx         vy         vz
      0.000     -98.562    -119.989    -127.765     -28.410     173.920      93.220
      0.010     -98.843    -118.246    -126.828     -27.708     174.767      94.129
      0.020     -99.116    -116.494    -125.882     -26.991     175.618      95.048
      0.030     -99.383    -114.733    -124.927     -26.257     176.473      95.978
      0.040     -99.642    -112.964    -123.963     -25.507     177.331      96.920
      0.050     -99.893    -111.187    -122.989     -24.740     178.193      97.873
      0.060    -100.136    -109.400    -122.005     -23.955     179.059      98.838
      0.070    -100.372    -107.605    -121.012     -23.152     179.928      99.815
      0.080    -100.599    -105.802    -120.009     -22.330     180.800     100.804
      0.090    -100.818    -103.989    -118.996     -21.489     181.676     101.805
      0.100    -101.029    -102.168    -117.973     -20.629     182.555     102.820
      0.110    -101.231    -100.338    -116.939     -19.748     183.436     103.847
      0.120    -101.424     -98.500    -115.896     -18.847     184.321     104.887
      0.130    -101.608     -96.652    -114.842     -17.923     185.208     105.940
      0.140    -101.782     -94.795    -113.777     -16.978     186.098     107.007
      0.150    -101.947     -92.930    -112.701     -16.010     186.990     108.087
      0.160    -102.102     -91.056    -111.615     -15.018     187.884     109.182
      0.170    -102.247     -89.172    -110.518     -14.003     188.780     110.291
      0.180    -102.382     -87.280    -109.409     -12.962     189.677     111.414
      0.190    -102.506     -85.379    -108.289     -11.896     190.576     112.552
      0.200    -102.620     -83.468    -107.158     -10.803     191.476     113.705
      0.210    -102.722     -81.549    -106.015      -9.682     192.376     114.874
      0.220    -102.813     -79.621    -104.860      -8.534     193.277     116.057
      0.230    -102.893     -77.684    -103.694      -7.356     194.177     117.257
      0.240    -102.960     -75.737    -102.515      -6.149     195.077     118.472
      0.250    -103.016     -73.782    -101.324      -4.910     195.976     119.703
      0.260    -103.058     -71.818    -100.121      -3.640     196.873     120.951
      0.270    -103.088     -69.845     -98.905      -2.337     197.769     122.216
      0.280    -103.105     -67.862     -97.677      -1.000     198.662     123.497
      0.290    -103.108     -65.871     -96.435       0.372     199.552     124.795
      0.300    -103.097     -63.871     -95.181       1.780     200.438     126.110
      0.310    -103.072     -61.863     -93.913       3.226     201.319     127.443
      0.320    -103.033     -59.845     -92.632       4.709     202.195     128.793
      0.330    -102.978     -57.819     -91.337       6.233     203.066     130.161
      0.340    -102.908     -55.784     -90.028       7.797     203.929     131.547
      0.350    -102.822     -53.740     -88.706       9.404     204.784     132.951
      0.360    -102.720     -51.688     -87.369      11.054     205.631     134.373
      0.370    -102.600     -49.628     -86.018      12.750     206.467     135.813
      0.380    -102.464     -47.559     -84.653      14.491     207.293     137.271
      0.390    -102.310     -45.482     -83.273      16.280     208.106     138.748
      0.400    -102.138     -43.397     -81.878      18.119     208.905     140.242
      0.410    -101.948     -41.304     -80.468      20.008     209.689     141.755
      0.420    -101.738     -39.203     -79.043      21.950     210.456     143.286
      0.430    -101.509     -37.095     -77.602      23.945     211.205     144.834
      0.440    -101.259     -34.979     -76.146      25.997     211.935     146.401
      0.450    -100.988     -32.856     -74.674      28.105     212.642     147.984
      0.460    -100.696     -30.726     -73.186      30.272     213.325     149.584
      0.470    -100.383     -28.590     -71.682      32.499     213.982     151.201
      0.480    -100.046     -26.447     -70.162      34.789     214.611     152.834
      0.490     -99.686     -24.298     -68.625      37.142     215.208     154.483
      0.500     -99.303     -22.143     -67.072      39.560     215.773     156.146
      0.510     -98.895     -19.983     -65.503      42.046     216.301     157.822
      0.520     -98.462     -17.817     -63.916      44.600     216.790     159.512
      0.530     -98.003     -15.647     -62.312      47.225     217.237     161.214
      0.540     -97.517     -13.473     -60.692      49.921     217.639     162.926
      0.550     -97.004     -11.294     -59.054      52.690     217.991     164.647
      0.560     -96.463      -9.113     -57.399      55.533     218.291     166.376
      0.570     -95.893      -6.929     -55.726      58.452     218.535     168.110
      0.580     -95.293      -4.743     -54.036      61.448     218.718     169.849
      0.590     -94.663      -2.555     -52.329      64.521     218.836     171.589
      0.600     -94.002      -0.366     -50.605      67.672     218.885     173.329
      0.610     -93.310       1.822     -48.863      70.902     218.859     175.065
      0.620     -92.584       4.011     -47.103      74.210     218.756     176.795
      0.630     -91.825       6.197     -45.327      77.598     218.568     178.516
      0.640     -91.032       8.381     -43.533      81.063     218.292     180.224
      0.650     -90.203      10.563     -41.722      84.607     217.921     181.915
      0.660     -89.339      12.739     -39.895      88.226     217.452     183.586
      0.670     -88.438      14.911     -38.051      91.920     216.877     185.233
      0.680     -87.500      17.076     -36.190      95.686     216.193     186.850
      0.690     -86.524      19.234     -34.314      99.521     215.392     188.433
      0.700     -85.510      21.384     -32.422     103.423     214.471     189.976
      0.710     -84.456      23.523     -30.515     107.386     213.424     191.475
      0.720     -83.362      25.651     -28.593     111.407     212.246     192.924
      0.730     -82.227      27.767     -26.656     115.480     210.932     194.317
      0.740     -81.052      29.869     -24.707     119.599     209.478     195.647
      0.750     -79.835      31.956     -22.744     123.757     207.880     196.909
      0.760     -78.577      34.026     -20.769     127.946     206.135     198.097
      0.770     -77.276      36.078     -18.782     132.159     204.240     199.205
      0.780     -75.933      38.110     -16.785     136.386     202.193     200.225
      0.790     -74.548      40.121     -14.778     140.617     199.994     201.153
      0.800     -73.121      42.109     -12.763     144.843     197.640     201.983
      0.810     -71.651      44.073     -10.739     149.052     195.135     202.708
      0.820     -70.140      46.011      -8.709     153.234     192.478     203.325
      0.830     -68.587      47.922      -6.673     157.377     189.673     203.829
      0.840     -66.993      49.804      -4.633     161.469     186.723     204.214
      0.850     -65.358      51.656      -2.589     165.499     183.634     204.478
      0.860     -63.683      53.476      -0.544     169.454     180.411     204.613
      0.870     -61.969      55.263       1.502     173.323     177.063     204.564
      0.880     -60.217      57.017       3.547     177.092     173.600     204.365
      0.890     -58.428      58.735       5.589     180.749     170.032     204.038
      0.900     -56.603      60.417       7.627     184.286     166.368     203.586
      0.910     -54.743      62.062       9.660     187.694     162.619     203.011
      0.920     -52.850      63.669      11.686     190.966     158.796     202.317
      0.930     -50.924      65.237      13.705     194.095     154.909     201.507
      0.940     -48.968      66.767      15.716     197.076     150.970     200.585
      0.950     -46.984      68.257      17.717     199.905     146.989     199.557
      0.960     -44.971      69.706      19.707     202.578     142.978     198.427
      0.970     -42.933      71.116      21.685     205.094     138.948     197.201
      0.980     -40.870      72.485      23.650     207.452     134.908     195.886
      0.990     -38.785      73.814      25.602     209.651     130.869     194.487
      1.000     -36.678      75.103      27.539     211.692     126.840     193.011
      1.010     -34.551      76.351      29.462     213.579     122.830     191.465
      1.020     -32.407      77.560      31.368     215.311     118.846     189.855
      1.030     -30.246      78.728      33.259     216.895     114.897     188.188
      1.040     -28.070      79.858      35.132     218.332     110.989     186.469
      1.050     -25.880      80.948      36.988     219.627     107.128     184.705
      1.060     -23.678      82.000      38.826     220.785     103.320     182.902
      1.070     -21.465      83.015      40.646     221.812      99.568     181.065
      1.080     -19.242      83.992      42.447     222.711      95.878     179.200
      1.090     -17.011      84.933      44.230     223.489      92.252     177.312
      1.100     -14.773      85.838      45.993     224.151      88.694     175.406
      1.110     -12.529      86.707      47.738     224.703      85.205     173.485
      1.120     -10.280      87.542      49.463     225.151      81.788     171.554
      1.130      -8.026      88.343      51.169     225.499      78.444     169.617
      1.140      -5.770      89.111      52.855     225.753      75.174     167.677
      1.150      -3.512      89.847      54.522     225.919      71.978     165.737
      1.160      -1.252      90.551      56.170     226.001      68.857     163.801
      1.170       1.008      91.225      57.798     226.005      65.810     161.871
      1.180       3.268      91.868      59.407     225.936      62.838     159.948
      1.190       5.526      92.482      60.997     225.798      59.939     158.036
      1.200       7.783      93.067      62.568     225.595      57.113     156.137
      1.210      10.038      93.624      64.120     225.332      54.359     154.251
      1.220      12.290      94.154      65.653     225.013      51.676     152.380
      1.230      14.538      94.658      67.168     224.642      49.063     150.526
      1.240      16.782      95.136      68.664     224.222      46.518     148.689
      1.250      19.022      95.589      70.142     223.757      44.041     146.871
      1.260      21.257      96.017      71.601     223.250      41.629     145.073
      1.270      23.487      96.422      73.043     222.704      39.281     143.294
      1.280      25.711      96.803      74.467     222.122      36.996     141.537
      1.290      27.929      97.162      75.874     221.507      34.772     139.800
      1.300      30.141      97.499      77.263     220.861      32.608     138.085
      1.310      32.346      97.814      78.636     220.187      30.501     136.392
      1.320      34.545      98.109      79.991     219.487      28.451     134.721
      1.330      36.736      98.384      81.330     218.764      26.456     133.072
      1.340      38.920      98.639      82.653     218.018      24.515     131.446
      1.350      41.096      98.874      83.959     217.253      22.625     129.841
      1.360      43.265      99.091      85.250     216.469      20.785     128.259
      1.370      45.425      99.290      86.525     215.668      18.995     126.699
      1.380      47.578      99.471      87.784     214.853      17.252     125.162
      1.390      49.722      99.636      89.028     214.023      15.555     123.646
      1.400      51.858      99.783      90.257     213.182      13.902     122.152
      1.410      53.986      99.914      91.471     212.329      12.293     120.679
      1.420      56.105     100.029      92.671     211.466      10.726     119.228
      1.430      58.215     100.128      93.856     210.594       9.200     117.798
      1.440      60.317     100.213      95.027     209.714       7.713     116.388
      1.450      62.409     100.283      96.184     208.828       6.264     114.999
      1.460      64.493     100.339      97.327     207.935       4.853     113.631
      1.470      66.568     100.380      98.456     207.037       3.478     112.283
      1.480      68.634     100.408      99.573     206.134       2.137     110.954
      1.490      70.691     100.423     100.676     205.228       0.830     109.644
      1.500      72.739     100.425     101.766     204.318      -0.444     108.354
      1.510      74.777     100.414     102.843     203.406      -1.686     107.083
      1.520      76.807     100.391     103.907     202.491      -2.897     105.830
      1.530      78.827     100.357     104.959     201.575      -4.078     104.595
      1.540      80.838     100.310     105.999     200.658      -5.231     103.378
      1.550      82.840     100.252     107.027     199.741      -6.355     102.178
      1.560      84.833     100.183     108.043     198.823      -7.452     100.996
      1.570      86.817     100.103     109.047     197.906      -8.523      99.830
      1.580      88.791     100.013     110.040     196.989      -9.568      98.681
      1.590      90.756      99.912     111.021     196.073     -10.588      97.549
      1.600      92.713      99.801     111.991     195.158     -11.583      96.432
      1.610      94.660      99.680     112.949     194.245     -12.556      95.331
      1.620      96.597      99.550     113.897     193.333     -13.505      94.245
      1.630      98.526      99.410     114.834     192.423     -14.433      93.175
      1.640     100.446      99.262     115.761     191.516     -15.339      92.119
      1.650     102.357      99.104     116.677     190.611     -16.224      91.077
      1.660     104.258      98.937     117.583     189.709     -17.089      90.050
      1.670     106.151      98.762     118.478     188.809     -17.934      89.037
      1.680     108.034      98.579     119.363     187.913     -18.760      88.037
      1.690     109.909      98.387     120.239     187.019     -19.568      87.051
      1.700     111.775      98.187     121.104     186.129     -20.357      86.078
      1.710     113.632      97.980     121.960     185.242     -21.129      85.118
      1.720     115.480      97.765     122.807     184.358     -21.884      84.171
      1.730     117.319      97.542     123.644     183.478     -22.622      83.236
      1.740     119.149      97.312     124.472     182.602     -23.345      82.313
      1.750     120.971      97.076     125.290     181.729     -24.051      81.402
      1.760     122.784      96.832     126.100     180.860     -24.742      80.503
      1.770     124.588      96.581     126.900     179.995     -25.418      79.615
      1.780     126.384      96.323     127.692     179.134     -26.080      78.738
      1.790     128.171      96.059     128.475     178.277     -26.728      77.873
      1.800     129.949      95.789     129.250     177.424     -27.362      77.018
      1.810     131.719      95.512     130.016     176.575     -27.983      76.174
      1.820     133.481      95.229     130.773     175.730     -28.591      75.340
      1.830     135.234      94.940     131.522     174.889     -29.186      74.516
      1.840     136.979      94.646     132.264     174.052     -29.768      73.703
      1.850     138.715      94.345     132.997     173.220     -30.339      72.899
      1.860     140.443      94.039     133.722     172.391     -30.898      72.105
      1.870     142.163      93.727     134.439     171.567     -31.446      71.321
      1.880     143.874      93.410     135.148     170.747     -31.982      70.545
      1.890     145.578      93.087     135.850     169.931     -32.508      69.779
      1.900     147.273      92.760     136.544     169.120     -33.023      69.022
      1.910     148.960      92.427     137.230     168.313     -33.527      68.273
      1.920     150.639      92.089     137.909     167.510     -34.022      67.533
      1.930     152.310      91.747     138.581     166.711     -34.507      66.802
      1.940     153.973      91.399     139.245     165.916     -34.982      66.079
      1.950     155.629      91.047     139.902     165.125     -35.448      65.364
      1.960     157.276      90.690     140.553     164.339     -35.905      64.657
      1.970     158.915      90.329     141.196     163.557     -36.352      63.958
      1.980     160.547      89.963     141.832     162.779     -36.792      63.267
      1.990     162.171      89.593     142.461     162.005     -37.222      62.583
      2.000     163.787      89.219     143.083     161.235     -37.644      61.906
      2.010     165.396      88.840     143.699     160.470     -38.059      61.237
      2.020     166.997      88.458     144.308     159.708     -38.465      60.576
      2.030     168.590      88.071     144.911     158.950     -38.863      59.921
      2.040     170.176      87.681     145.507     158.197     -39.254      59.273
      2.050     171.754      87.286     146.096     157.447     -39.638      58.632
      2.060     173.325      86.888     146.679     156.702     -40.014      57.998
      2.070     174.888      86.486     147.256     155.960     -40.383      57.370
      2.080     176.444      86.080     147.827     155.223     -40.746      56.749
      2.090     177.992      85.671     148.391     154.489     -41.101      56.134
      2.100     179.534      85.258     148.949     153.759     -41.450      55.525
      2.110     181.068      84.842     149.502     153.033     -41.792      54.922
      2.120     182.594      84.422     150.048     152.311     -42.128      54.326
      2.130     184.114      83.999     150.588     151.593     -42.458      53.735
      2.140     185.626      83.573     151.123     150.878     -42.782      53.151
      2.150     187.132      83.144     151.651     150.168     -43.100      52.572
      2.160     188.630      82.711     152.174     149.460     -43.412      51.999
      2.170     190.121      82.276     152.691     148.757     -43.719      51.431
      2.180     191.605      81.837     153.203     148.057     -44.019      50.869
      2.190     193.082      81.395     153.709     147.361     -44.315      50.312
      2.200     194.552      80.951     154.209     146.669     -44.605      49.760
      2.210     196.015      80.503     154.704     145.980     -44.890      49.214
      2.220     197.472      80.053     155.193     145.295     -45.169      48.673
      2.230     198.921      79.600     155.677     144.613     -45.444      48.136
      2.240     200.364      79.144     156.156     143.934     -45.714      47.605
