# t        x          y          z         vx         vy         vz
      0.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      0.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      1.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      2.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      3.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      4.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      5.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      6.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      7.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      8.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.100    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.200    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.300    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.400    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.500    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.600    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.700    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.800    -98.598   -119.988   -127.783    -28.410    173.920     93.220
      9.900    -98.598   -119.988   -127.783    -28.410    173.920     93.220
     10.000    -98.598   -119.988   -127.783    -28.410    173.920     93.220
